"source","target","type","description"
"punisher-one-last-kill","daredevil-born-again","continuation","Frank Castle's Born Again arc continues into this stand-alone special rather than into season 2."
"punisher-one-last-kill","netflix-punisher","continuation","Bernthal's Punisher returns to lead his own story for the first time since the Netflix series ended."
"she-hulk","netflix-daredevil","crossover","Charlie Cox's Daredevil gets a multi-episode comic arc — and a yellow suit."
"she-hulk","incredible-hulk","recast-return","Tim Roth returns as Emil Blonsky / Abomination, fourteen years later."
"netflix-defenders","netflix-daredevil","crossover","Team-up miniseries uniting Daredevil, Jessica Jones, Luke Cage and Iron Fist."
"netflix-defenders","netflix-jessica-jones","crossover","Jessica Jones joins the Defenders."
"netflix-defenders","netflix-luke-cage","crossover","Luke Cage joins the Defenders."
"netflix-defenders","netflix-iron-fist","crossover","Danny Rand joins the Defenders."
"netflix-punisher","netflix-daredevil","continuation","Frank Castle spun out of Daredevil season 2 into his own series."
"netflix-luke-cage","netflix-jessica-jones","continuation","Luke Cage was introduced in Jessica Jones season 1."
"agents-of-shield","thor-dark-world","tie-in","'The Well' handles the cleanup after the Asgardian battle in Greenwich."
"agents-of-shield","cap-winter-soldier","tie-in","'Turn, Turn, Turn' aired days after the film and detonates the same HYDRA reveal across the series."
"agents-of-shield","avengers-aou","tie-in","Season 2–3 track the vibranium fallout and the road to the Sokovia Accords."
"agents-of-shield","avengers-iw","tie-in","The season 5 finale plays out against the Snap."
"agents-of-shield","inhumans","crossover","Inhumans spun directly out of the series' season 3 Terrigenesis arc."
"agents-of-shield","agent-carter","crossover","Shares the S.H.I.E.L.D. founding mythology; Peggy Carter runs through both."
"agents-of-shield","ghost-rider","variant","Introduces Robbie Reyes as Ghost Rider — a separate character and continuity from Nicolas Cage's Johnny Blaze."
"agent-carter","cap-first-avenger","continuation","Picks up Peggy Carter's life after Steve Rogers goes into the ice."
"agent-carter","ant-man","tie-in","Establishes Edwin Jarvis, Howard Stark and the pre-history of J.A.R.V.I.S."
"os-consultant","incredible-hulk","tie-in","Reveals that Tony Stark's visit to Ross was a ploy to keep Banner off the Avengers roster."
"os-thors-hammer","thor","tie-in","Coulson's detour on the way to New Mexico, immediately before Thor."
"os-item-47","avengers","tie-in","A couple scavenge a Chitauri rifle from the wreckage of the Battle of New York."
"os-agent-carter","agent-carter","continuation","The one-shot's reception is what got the series greenlit."
"os-all-hail-king","iron-man-3","continuation","Trevor Slattery, still playing the Mandarin, in Seagate Prison."
"os-all-hail-king","shang-chi","tie-in","Sets up the real Ten Rings — and Slattery's return seven years later."
"os-peters-todo-list","cap-civil-war","tie-in","Peter Parker's first days back from Berlin, days after the airport fight."
"xmen-97","an-xmen-tas","continuation","Picks up Earth-92131 directly after the 1997 finale, same reality, several original voice actors."
"what-if","loki","crossover","The Watcher's multiverse and the TVA's pruning are two views of the same branching."
"quantumania","loki","crossover","He Who Remains, introduced in Loki's finale, returns as Kang the Conqueror."
"wandavision","agatha-all-along","continuation","Agatha Harkness, last seen hexed into 'Agnes', returns as protagonist."
"agatha-all-along","doctor-strange-2","tie-in","Wanda's apparent death and the Darkhold's destruction are treated as settled backstory."
"what-if","cap-first-avenger","variant","'What If... Captain Carter Were the First Avenger?' branches at the serum injection."
"what-if","gotg","variant","'What If... T'Challa Became a Star-Lord?' branches at Yondu's abduction."
"what-if","avengers-aou","variant","'What If... Ultron Won?' branches at Age of Ultron's climax."
"what-if","iron-man","variant","'What If... Killmonger Rescued Tony Stark?' branches in the Afghan convoy."
"marvel-zombies","what-if","continuation","Grown out of the 'What If... Zombies?!' episode into its own four-part series."
"i-am-groot","gotg","continuation","Shorts set in the gap between the two Guardians films."
"fantastic-four-first-steps","thunderbolts","post-credits-setup","Thunderbolts* ends with the New Avengers detecting the Fantastic Four's craft entering Earth-616 airspace."
"thunderbolts","cap-brave-new-world","tie-in","References Sam Wilson's Captain America and a naming dispute over 'the Avengers'."
"cap-brave-new-world","incredible-hulk","recast-return","Tim Blake Nelson returns as Samuel Sterns / the Leader, seventeen years after the seed was planted."
"cap-brave-new-world","cap-civil-war","continuation","Continues Thaddeus Ross's arc — now recast, and now President."
"cap-brave-new-world","eternals","tie-in","The adamantium comes from Tiamut's emerged body — the Celestial Island left at Eternals' end."
"eternals","blade","post-credits-setup","Mahershala Ali's Blade speaks in the mid-credits as Dane Whitman reaches for the Ebony Blade."
"shang-chi","doctor-strange","post-credits-setup","Wong, Carol Danvers and Bruce Banner examine the Ten Rings and pick up a signal."
"shang-chi","iron-man-3","continuation","Trevor Slattery's fake-Mandarin story finally collides with the real one."
"ms-marvel","the-marvels","post-credits-setup","Kamala and Carol swap places through the bangle in the finale's post-credits scene."
"ms-marvel","captain-marvel","tie-in","Kamala's bangle is tied to Kree and Noor-dimension mythology."
"the-marvels","x-men-last-stand","post-credits-setup","Monica wakes in a reality where Kelsey Grammer's Beast is waiting — the Fox mutants, entering."
"ironheart","black-panther-2","continuation","Continues Riri Williams' story after her introduction in Wakanda Forever."
"wonder-man","she-hulk","tie-in","Simon Williams' Hollywood satire sits alongside She-Hulk as Marvel Television's other fourth-wall-adjacent comedy."
"black-widow","cap-civil-war","tie-in","Set in the gap between Civil War and Infinity War; the post-credits jumps past Endgame."
"spider-man-bnd","spider-man-nwh","continuation","Picks up a Peter Parker nobody remembers, after the spell erased him from the world."
"spider-man-bnd","daredevil-born-again","crossover","Charlie Cox's Daredevil crosses over from Marvel Television into the Spider-Man films."
"x-men-dofp","x-men-last-stand","continuation","Time travel unwrites the original trilogy's future — and the trilogy's own continuity with it."
"x-men-dofp","x-men-first-class","continuation","Bridges the First Class cast and the original cast into a single, rewritten timeline."
"x-men-apocalypse","x-men-dofp","continuation","Direct continuation inside the reset timeline."
"dark-phoenix","x-men-apocalypse","continuation","Closes out the First Class-era timeline."
"logan","x-men-dofp","variant","A separate, terminal near-future branch rather than a continuation."
"new-mutants","x-men-apocalypse","tie-in","Essex Corp ties it loosely to the Mr. Sinister thread seeded in the main series."
"deadpool","x-men-origins-wolverine","variant","Wade Wilson is rebooted from scratch; the film opens by mocking the earlier version."
"deadpool-2","deadpool","continuation","Direct continuation, plus a time-travel coda that undoes the previous film's worst outcomes."
"x2","x-men","continuation","Direct continuation."
"x-men-last-stand","x2","continuation","Direct continuation, resolving the Phoenix arc."
"the-wolverine","x-men-last-stand","continuation","Set after the original trilogy, with Jean Grey haunting Logan."
"raimi-spider-man-2","raimi-spider-man","continuation","Direct continuation."
"raimi-spider-man-3","raimi-spider-man-2","continuation","Direct continuation, closing the trilogy."
"an-spider-man-mtv-2003","raimi-spider-man","continuation","MTV's CG series is set between the first two Raimi films, with Peter still in college."
"tasm-2","tasm","continuation","Direct continuation."
"blade-2","blade","continuation","Direct continuation."
"blade-trinity","blade-2","continuation","Direct continuation, closing the trilogy."
"blade-series","blade-trinity","continuation","Spike TV series set in the same reality after the films."
"elektra","daredevil-2003","continuation","Spin-off continuing Elektra Natchios after her death in Daredevil."
"fantastic-four-silver-surfer","fantastic-four-2005","continuation","Direct continuation."
"ghost-rider-2","ghost-rider","continuation","Direct continuation with the same Johnny Blaze, a new creative team, and a harder tone."
"tv-hulk-returns","tv-incredible-hulk-1977","continuation","First of three NBC reunion films; introduces Thor to network television."
"tv-trial-of-hulk","tv-hulk-returns","continuation","Second reunion film; introduces Daredevil, played by Rex Smith."
"tv-death-of-hulk","tv-trial-of-hulk","continuation","Final reunion film; kills David Banner."
"an-big-hero-6-series","big-hero-6","continuation","Picks up immediately after the film."
"an-emh","an-wolverine-and-xmen","crossover","Both series share Earth-8096; characters and continuity cross between them."
"an-avengers-assemble","an-ultimate-spider-man","crossover","Disney XD's shared animated continuity — Spider-Man crosses into the Avengers' series repeatedly."
"an-agents-of-smash","an-avengers-assemble","crossover","Same shared Disney XD continuity."
"an-gotg-2015","an-avengers-assemble","crossover","Same shared Disney XD continuity."
"friendly-neighborhood-spider-man","spider-man-homecoming","variant","A deliberately re-branched origin: Norman Osborn takes the mentor role Tony Stark held."
"eyes-of-wakanda","black-panther","tie-in","Anthology of Wakandan history across three millennia, confirmed Sacred Timeline canon."
"gotg-holiday-special","gotg-3","tie-in","Bridges Vol. 2 and Vol. 3, and explains how Kevin Bacon ends up on Knowhere."
"werewolf-by-night","thunderbolts","tie-in","Introduces Jack Russell, Elsa Bloodstone and Man-Thing into the Sacred Timeline."
"avengers-endgame","avengers-iw","continuation","Direct continuation — and the Time Heist that creates the branched realities Loki inherits."
"cloak-and-dagger","runaways","crossover","Cloak and Dagger appear in Runaways season 3, the only Marvel Television cross-show crossover of its era."
